context,rank,ad_id,advertiser_id,p_ctr,p_ctr_ucb,bid_cpc,ev,pacing_mult,fatigue_mult,diversity_mult,final_score,reason
"A: sfw character, turn <=2 (fresh session)",1,AD09,ADV1,0.3730620155038759,0.38183677105611896,2.1,0.8018572192178498,2.0,1.0,1.0,1.6037144384356996,pacing boost x2.00
"A: sfw character, turn <=2 (fresh session)",2,AD00,ADV0,0.3730620155038759,0.37746992986878675,2.5,0.9436748246719668,1.0416666666666667,1.0,1.0,0.9829946090332988,scored on model estimate
"A: sfw character, turn <=2 (fresh session)",3,AD06,ADV2,0.4862552838159104,0.48962255691410445,3.2,1.5667921821251343,0.5128205128205128,1.0,1.0,0.8034831703205816,pacing throttle x0.51
"A: sfw character, turn <=2 (fresh session)",4,AD03,ADV3,0.265206812652068,0.2677538830956128,4.0,1.0710155323824513,0.5952380952380952,1.0,1.0,0.6375092454657448,pacing throttle x0.60
"A: sfw character, turn <=2 (fresh session)",5,AD05,ADV1,0.4161849710982659,0.46564812426085694,0.95,0.44236571804781405,2.0,1.0,0.7,0.6193120052669396,"cold ad (n=60), +0.0495 explore bonus; pacing boost x2.00; advertiser-diversity x0.70"
"A: sfw character, turn <=2 (fresh session)",6,AD01,ADV1,0.36134453781512604,0.36670279482577545,1.1,0.403373074308353,2.0,1.0,0.48999999999999994,0.3953056128221859,pacing boost x2.00; advertiser-diversity x0.49
"A: sfw character, turn <=2 (fresh session)",7,AD04,ADV0,0.13795791114575215,0.1430845549296221,1.75,0.2503979711268387,1.0416666666666667,1.0,0.7,0.18258185394665322,scored on model estimate; advertiser-diversity x0.70
"A: sfw character, turn <=2 (fresh session)",8,AD02,ADV2,0.36134453781512604,0.423834234566074,0.8,0.3390673876528592,0.5128205128205128,1.0,0.7,0.1217164981317956,"cold ad (n=15), +0.0625 explore bonus; pacing throttle x0.51; advertiser-diversity x0.70"
"A: sfw character, turn <=2 (fresh session)",9,AD07,ADV3,0.13795791114575215,0.1492971191966455,1.4,0.20901596687530372,0.5952380952380952,1.0,0.7,0.08708998619804321,pacing throttle x0.60; advertiser-diversity x0.70
"A: sfw character, turn <=2 (fresh session)",10,AD08,ADV0,0.18328840970350405,0.18522213804837132,0.6,0.11113328282902278,1.0416666666666667,1.0,0.48999999999999994,0.05672427977731371,scored on model estimate; advertiser-diversity x0.49
"B: mature character, turn >=10 (deep roleplay)",1,AD09,ADV1,0.20719783648845433,0.2145549496499947,2.1,0.45056539426498887,2.0,1.0,1.0,0.9011307885299777,pacing boost x2.00
"B: mature character, turn >=10 (deep roleplay)",2,AD04,ADV0,0.2138728323699422,0.21996145635617673,1.75,0.3849325486233093,1.0416666666666667,1.0,1.0,0.4009714048159472,scored on model estimate
"B: mature character, turn >=10 (deep roleplay)",3,AD05,ADV1,0.2138728323699422,0.2557821515489166,0.95,0.24299304397147076,2.0,1.0,0.7,0.34019026156005905,"cold ad (n=60), +0.0419 explore bonus; pacing boost x2.00; advertiser-diversity x0.70"
"B: mature character, turn >=10 (deep roleplay)",4,AD01,ADV1,0.20719783648845433,0.2117193794914663,1.1,0.23289131744061295,2.0,1.0,0.48999999999999994,0.22823349109180066,pacing boost x2.00; advertiser-diversity x0.49
"B: mature character, turn >=10 (deep roleplay)",5,AD07,ADV3,0.20719783648845433,0.22045354525883806,1.4,0.3086349633623733,0.5952380952380952,1.0,1.0,0.1837112877156984,pacing throttle x0.60
